course_run_key,reporting_type,announcement
course-v1:ANUx+ANU-ASTRO2x+3T2015,mooc,8/3/15
course-v1:ANUx+ANU-ASTRO2x+4T2015,mooc,10/14/15
course-v1:ANUx+ANU-ASTRO3x+1T2016,mooc,3/1/16
course-v1:ANUx+ANU-ASTRO3x+4T2015,mooc,12/15/15
course-v1:ANUx+ANU-ASTRO4x+2T2016,mooc,6/7/16
course-v1:ANUx+ANU-ASTRO4x+4T2015,mooc,2/22/16
course-v1:ANUx+ANU-INDIA1x+4T2015,mooc,11/2/15
course-v1:ANUx+EBM01x+1T2017,mooc,9/20/16
course-v1:ANUx+EBM02x+2T2017,mooc,9/20/16
course-v1:ANUx+EBM03x+2T2017,mooc,9/20/16
course-v1:ANUx+EBM04x+2T2017,mooc,9/20/16
course-v1:ANUx+EBM05x+3T2017,mooc,9/20/16
course-v1:ANUx+EBM06x+3T2017,mooc,9/20/16
course-v1:ANUx+EBM07x+3T2017,mooc,9/20/16
course-v1:ANUx+Igno101x+1T2016,mooc,10/20/16
course-v1:ANUx+Igno101x+2T2015,mooc,5/7/15
course-v1:ANUx+RSIT-01x+3T2015,mooc,7/27/15
course-v1:ASUx+ASM246+1T2016,mooc,10/29/15
course-v1:ASUx+ASM246+2167A,mooc,3/28/16
course-v1:ASUx+ASM246+2171A,mooc,10/4/16
course-v1:ASUx+ASM246+3T2015,mooc,4/22/15
course-v1:ASUx+AST111+3T2015,mooc,4/22/15
course-v1:ASUx+AST111x+1T2016,mooc,9/10/15
course-v1:ASUx+AST111x+2161B,mooc,1/22/16
course-v1:ASUx+AST111x+2164C,mooc,3/29/16
course-v1:ASUx+AST111x+2167B,mooc,6/30/16
course-v1:ASUx+AST111x+2171B,mooc,12/14/16
course-v1:ASUx+CEE181x+1T2016,mooc,8/17/15
course-v1:ASUx+CEE181x+2164C,mooc,1/22/16
course-v1:ASUx+CEE181x+2171A,mooc,10/4/16
course-v1:ASUx+DOGx001+1T2016,mooc,2/10/16
course-v1:ASUx+DOGx002+1T2016,mooc,2/10/16
course-v1:ASUx+DOGx003+2T2016,mooc,2/10/16
course-v1:ASUx+ECN211x+2171B,mooc,
course-v1:ASUx+ECN211x+2177A,mooc,5/16/16
course-v1:ASUx+ENG101x+1T2016,mooc,8/17/15
course-v1:ASUx+ENG101x+2167A,mooc,3/28/16
course-v1:ASUx+ENG101x+2171A,mooc,10/4/16
course-v1:ASUx+ENG102x+2167B,mooc,6/30/16
course-v1:ASUx+ENG102x+2171B,mooc,12/13/16
course-v1:ASUx+EXW100x+1T2016,mooc,8/17/15
course-v1:ASUx+EXW100x+2164C,mooc,1/28/16
course-v1:ASUx+EXW100x+2167B,mooc,7/1/16
course-v1:ASUx+EXW100x+2171B,mooc,12/13/16
course-v1:ASUx+GBL500x+3T2016,mooc,8/2/16
course-v1:ASUx+GFADemox+1T2016,mooc,2/2/16
course-v1:ASUx+HST102+3T2015,mooc,4/22/15
course-v1:ASUx+HST102x+1T2016,mooc,10/29/15
course-v1:ASUx+HST102x+2164C,mooc,3/29/16
course-v1:ASUx+HST102x+2167B,mooc,6/30/16
course-v1:ASUx+HST102x+2171B,mooc,12/13/16
course-v1:ASUx+MAT117x+1T2016,mooc,8/17/15
course-v1:ASUx+MCO425x+2T2015,mooc,5/5/15
course-v1:ASUx+SOC101X+2167A,mooc,6/7/16
course-v1:ASUx+SOC101x+2171A,mooc,10/4/16
course-v1:ASUx+TGM505x+2T2017,mooc,9/20/16
course-v1:ASUx+TGM540x+1T2017,mooc,9/20/16
course-v1:ASUx+TGM551x+2T2017,mooc,9/20/16
course-v1:ASUx+TGM579x+1T2017,mooc,9/20/16
course-v1:BabsonX+BPET.ACCx+1T2017,mooc,10/31/16
course-v1:BabsonX+BPET.ETAx+1T2017,mooc,10/31/16
course-v1:BabsonX+BPET.FINx+2T2017,mooc,10/31/16
course-v1:BabsonX+BPET.MKTx+1T2017,mooc,10/31/16
course-v1:BabsonX+BPET.STATx+1T2017,mooc,10/31/16
course-v1:BabsonX+BPET.STRATx+2T2017,mooc,10/31/16
